suite,method,bounded,lr,count,dice,condition,min_singular_value,max_singular_value,nonpositive_determinants,extreme_scale_runs,dice_change_from_rigid,dice_worse_than_rigid,seconds,loss_value,tre_mean_mm,tre_median_mm,tre_worse_than_rigid,tre_max_mm
brains_masked,matrix,False,0.03,3,0.9611749138680911,1.0967096487681072,0.9612887501716614,1.154446005821228,0,0,0.015115773687413792,0,0.964129618058602,-0.5631625453631083,5.214193257402362,2.8922735504105366,0,7.708159951820241
brains_masked,polar,False,0.03,3,0.961190326201491,1.0972773631413777,0.961264967918396,1.154257893562317,0,0,0.015131186020813833,0,1.509421066303427,-0.5631694197654724,5.218771363980624,2.8942869018205877,0,7.710956413661669
brains_masked,matrix,False,0.1,3,0.5343312427096457,40.23459577560425,0.0011498124804347754,1.0279778242111206,1,2,-0.41172789747103145,2,0.9671245849846551,-0.8429850141207377,32.81953083079515,29.3151725794016,1,57.93050754991071
brains_masked,polar,False,0.1,3,0.328806255164116,2.9592060248057046,0.01755877397954464,0.08044737577438354,0,3,-0.6172528850165612,3,1.5287599340081215,-0.96929403146108,55.38324403150636,52.263284766134035,2,62.03909695005016
brains_masked,matrix,True,0.001,3,0.9611497515144993,1.096908450126648,0.9613156318664551,1.154231309890747,0,0,0.015090611333822057,0,1.0747701976603519,-0.5631675521532694,5.218090879221725,2.8929088444560587,0,7.7095119592688
brains_masked,polar,True,0.001,3,0.9611674476985878,1.096603512763977,0.9613235592842102,1.1534818410873413,0,0,0.01510830751791048,0,1.5530959323514253,-0.5631673733393351,5.217516549433599,2.89170000183769,0,7.709411745951401
brains_masked,matrix,True,0.003,3,0.9611251422565642,1.0971588691075642,0.9613333344459534,1.154289960861206,0,0,0.015066002075887042,0,1.0144335116104533,-0.5631777246793112,5.218058812343314,2.8932450673874404,0,7.7096862879619925
brains_masked,polar,True,0.003,3,0.9611590297258527,1.0966495275497437,0.9613081216812134,1.1535347700119019,0,0,0.015099889545175419,0,1.5533991399376343,-0.5631673733393351,5.218237737042477,2.892843978500827,0,7.709794793862863
brains_masked,matrix,True,0.01,3,0.9611399429130957,1.0967950423558552,0.9613246321678162,1.1540372371673584,0,0,0.015080802732418519,0,1.0398186220166583,-0.5631667971611023,5.217163183730535,2.890991817255947,0,7.710187755153379
brains_masked,polar,True,0.01,3,0.9611195129789186,1.0969770749409993,0.9612718820571899,1.1541640758514404,0,0,0.01506037279824135,0,1.5862279964300494,-0.5631668170293173,5.217351322409804,2.8915425949557854,0,7.71105410406143
